,ID,MOLD_ID,CT,TFF
93817,1260711,B,179,20211030220615
93824,1260775,C,0,20211030221121
93827,1260791,F,0,20211030220129
93854,1260988,B,179,20211030230617
93861,1261052,C,0,20211030231124
93864,1261068,F,0,20211030230133
93891,1261255,B,179,20211031000619
93897,1261313,C,0,20211031001126
93902,1261344,F,0,20211031000135
93927,1261531,B,179,20211031010621
93933,1261593,C,0,20211031011129
93938,1261621,F,0,20211031010138
93966,1261820,B,179,20211031020623
93973,1261881,C,0,20211031021131
93978,1261920,F,0,20211031020140
94004,1262372,B,179,20211031030625
94011,1262435,C,0,20211031031133
94016,1262463,F,0,20211031030142
94041,1262658,B,179,20211031040627
94048,1262721,C,0,20211031041135
94053,1262749,F,0,20211031040144
94077,1262931,B,179,20211031050629
94085,1262998,C,0,20211031051138
94090,1263026,F,0,20211031050146
94113,1263203,B,179,20211031060631
94120,1263266,C,0,20211031061141
94124,1263288,F,0,20211031060148
94147,1263930,B,179,20211031070633
94154,1263989,C,0,20211031071143
94158,1264011,F,0,20211031070150
94180,1264179,B,179,20211031080636
94187,1264238,C,0,20211031081145
94191,1264264,F,0,20211031080152
94213,1289609,B,179,20211031090638
94220,1301374,C,0,20211031091148
94224,1306184,F,0,20211031090154
94247,1323392,B,179,20211031100640
94254,1331625,C,0,20211031101150
94258,1340259,F,0,20211031100158
94280,1357416,B,179,20211031110642
94287,1365637,C,0,20211031111152
94291,1374337,F,0,20211031110200
94294,1374353,C,0,20211031111152
94314,1391492,B,179,20211031120644
94324,1408401,F,0,20211031120202
94327,1408419,C,0,20211031121855
94347,1425231,B,179,20211031130646
94357,1442473,F,0,20211031130204
94360,1442491,C,0,20211031131857
94380,1457659,B,179,20211031140648
94390,1472213,F,0,20211031140206
94393,1472255,C,0,20211031141859
94413,1491721,B,179,20211031150650
94423,1506225,F,0,20211031150208
94426,1506265,C,0,20211031151901
94446,1525882,B,179,20211031160652
94499,1540471,F,0,20211031160210
94502,1540513,C,0,20211031161903
94524,1560196,B,179,20211031170654
94536,1570915,C,0,20211031171905
94537,1570992,F,0,20211031170212
94560,1582645,B,179,20211031180657
94573,1589577,C,0,20211031181908
94574,1589582,F,0,20211031180214
94597,1604749,B,179,20211031190659
94610,1612694,C,0,20211031191911
94611,1612698,F,0,20211031190216
94634,1628674,B,179,20211031200701
94691,1659832,B,179,20211031210703
94806,1660522,B,179,20211031220705
94807,1660525,B,179,20211031230707
94808,1660530,B,179,20211101000709
94810,1660534,B,179,20211101010711
94813,1660539,B,179,20211101020713
94864,1660657,B,179,20211101030716
94918,1660832,B,179,20211101040718
94919,1660834,B,179,20211101050721
94920,1660836,B,179,20211101060723
94931,1661199,F,0,20211031200218
94937,1661233,F,0,20211031210220
94946,1661299,F,0,20211031220222
94947,1661303,F,0,20211031230224
94955,1661458,F,0,20211101000227
94956,1661460,F,0,20211101010229
94957,1661464,F,0,20211101020232
94965,1661531,F,0,20211101030234
94967,1661535,F,0,20211101040236
94969,1661538,F,0,20211101050239
94970,1661541,F,0,20211101060241
94986,1661592,C,0,20211031201914
94990,1661602,C,0,20211031211916
94992,1661608,C,0,20211031221918
94996,1661619,C,0,20211031231920
95001,1661631,C,0,20211101001922
95004,1661646,C,0,20211101011924
95006,1661679,C,0,20211101021926
95011,1661697,C,0,20211101031929
95012,1661699,C,0,20211101041932
95013,1661701,C,0,20211101051935
95014,1661703,C,0,20211101061937
95037,1662249,B,0,20211101070725
95047,1662351,F,0,20211101070244
95050,1662363,C,0,20211101071939
95074,1662526,B,0,20211101080727
95084,1662692,F,0,20211101080246
95087,1662704,C,0,20211101081941
95111,1662872,B,0,20211101090729
95121,1663011,F,0,20211101090250
95124,1663023,C,0,20211101091943
95148,1663190,B,0,20211101100732
95158,1663294,F,0,20211101100252
95161,1663306,C,0,20211101101945
95186,1663476,B,0,20211101110734
95197,1663584,F,0,20211101110255
95200,1663596,C,0,20211101111947
